"","GII.Rank","Country","GenIneq","Matmort","AdolBR","ParlPres","SecEduFem","SecEduMal","LabFFem","LabFMal","edu2Ratio","labRatio","HDI.Rank","HumDevIn","LifeExp","ExpEdu","MeanEdu","GNI","GNIRank"
"92",90,"Mongolia",0.325,68,18.7,14.9,85.3,84.1,56.6,69.3,0.985932004689332,0.816738816738817,90,0.727,69.4,14.6,9.3,"10,729",4
"93",93,"Thailand",0.38,26,41,6.1,35.7,40.8,64.3,80.7,1.14285714285714,0.796778190830235,93,0.726,74.4,13.5,7.3,"13,323",-13
"94",94,"Dominica",NA,NA,NA,21.9,29.7,23.2,NA,NA,0.781144781144781,NA,94,0.724,77.8,12.7,7.9,"9,994",4
"95",94,"Libya",0.134,15,2.5,16,55.5,41.9,30,76.4,0.754954954954955,0.392670157068063,94,0.724,71.6,14,7.3,"14,911",-19
"96",96,"Tunisia",0.24,46,4.6,31.3,32.8,46.1,25.1,70.9,1.40548780487805,0.354019746121298,96,0.721,74.8,14.6,6.8,"10,404",1
"97",97,"Colombia",0.429,83,68.5,20.9,56.9,55.6,55.8,79.7,0.977152899824253,0.700125470514429,97,0.72,74,13.5,7.3,"12,040",-9
"98",97,"Saint Vincent and the Grenadines",NA,45,54.5,13,NA,NA,55.7,78,NA,0.714102564102564,97,0.72,72.9,13.4,8.6,"9,937",3
"99",99,"Jamaica",0.43,80,70.1,16.7,74,70.2,56.1,70.9,0.948648648648649,0.791255289139633,99,0.719,75.7,12.4,9.7,"7,415",13
"100",100,"Tonga",0.666,120,18.1,0,87.5,88.3,53.5,74.6,1.00914285714286,0.7171581769437,100,0.717,72.8,14.7,10.7,"5,069",32
"101",101,"Belize",0.426,45,71.4,13.3,76.4,75.8,49.2,82.3,0.992146596858639,0.597812879708384,101,0.715,70,13.6,10.5,"7,614",9
"102",101,"Dominican Republic",0.477,100,99.6,19.1,55.6,53.1,51.3,78.6,0.955035971223022,0.652671755725191,101,0.715,73.5,13.1,7.6,"11,883",-12
"103",103,"Suriname",0.463,130,35.2,11.8,44.6,47.1,40.5,68.8,1.05605381165919,0.588662790697674,103,0.714,71.1,12.7,7.7,"15,617",-32
"104",104,"Maldives",0.243,31,4.2,5.9,27.3,32.7,56.2,77.5,1.1978021978022,0.725161290322581,104,0.706,76.8,13,5.8,"12,328",-19
"105",105,"Samoa",0.457,58,28.3,6.1,64.3,60,23.5,58.4,0.933125972006221,0.402397260273973,105,0.702,73.4,12.9,10.3,"5,327",24
"106",106,"Botswana",0.48,170,44.2,9.5,73.6,77.9,71.9,81.6,1.05842391304348,0.881127450980392,106,0.698,64.5,12.5,8.9,"16,646",-41
"107",107,"Moldova (Republic of)",0.248,21,29.3,20.8,93.6,96.6,37.6,44.2,1.03205128205128,0.850678733031674,107,0.693,71.6,11.9,11.2,"5,223",23
"108",108,"Egypt",0.573,45,43,2.2,43.9,60.6,23.7,74.8,1.38041002277904,0.316844919786096,108,0.69,71.1,13.5,6.6,"10,512",-12
"109",109,"Turkmenistan",NA,61,18,25.8,NA,NA,46.9,76.9,NA,0.609882964889467,109,0.688,65.6,10.8,9.9,"13,066",-28
"110",110,"Gabon",0.514,240,103,16.2,53.9,36.1,56.2,65.4,0.669758812615955,0.859327217125382,110,0.684,64.4,12.5,7.8,"16,367",-42
"111",110,"Indonesia",0.494,190,48.3,17.1,39.9,49.2,51.4,84.2,1.23308270676692,0.610451306413302,110,0.684,68.9,13,7.6,"9,788",-9
"112",112,"Paraguay",0.472,110,67,16.8,36.8,43,55.7,84.8,1.16847826086957,0.65683962264151,112,0.679,72.9,11.9,7.7,"7,643",-3
"113",113,"Palestine, State of",NA,NA,45.8,NA,53.9,59.4,15.4,66.4,1.10204081632653,0.231927710843373,113,0.677,72.9,13,8.9,"4,699",21
"114",114,"Uzbekistan",NA,36,38.8,16.4,NA,NA,48.1,75.6,NA,0.636243386243386,114,0.675,68.4,11.5,10.9,"5,567",10
"115",115,"Philippines",0.42,120,46.8,27.1,65.9,63.7,51.1,79.7,0.966616084977238,0.641154328732748,115,0.668,68.2,11.3,8.9,"7,915",-7
"116",116,"El Salvador",0.427,69,76,27.4,36.8,43.6,47.8,79,1.18478260869565,0.605063291139241,116,0.666,73,12.3,6.5,"7,349",-3
"117",116,"South Africa",0.407,140,50.9,40.7,72.7,75.9,44.5,60.5,1.04401650618982,0.735537190082645,116,0.666,57.4,13.6,9.9,"12,122",-29
"118",116,"Viet Nam",0.308,49,29,24.3,59.4,71.2,73,82.2,1.1986531986532,0.888077858880779,116,0.666,75.8,11.9,7.5,"5,092",15
"119",119,"Bolivia (Plurinational State of)",0.444,200,71.9,51.8,47.6,59.1,64.2,80.9,1.24159663865546,0.793572311495674,119,0.662,68.3,13.2,8.2,"5,760",4
"120",120,"Kyrgyzstan",0.353,75,29.3,23.3,94.5,96.8,56,79.5,1.02433862433862,0.70440251572327,120,0.655,70.6,12.5,10.6,"3,044",29
"121",121,"Iraq",0.539,67,68.7,26.5,27.8,50.2,14.9,69.8,1.80575539568345,0.213467048710602,121,0.654,69.4,10.1,6.4,"14,003",-44
"122",122,"Cabo Verde",NA,53,70.6,20.8,NA,NA,51.5,83.7,NA,0.615292712066906,122,0.646,73.3,13.5,4.7,"6,094",-1
"123",123,"Micronesia (Federated States of)",NA,96,18.6,0,NA,NA,NA,NA,NA,NA,123,0.64,69.1,11.7,9.7,"3,432",21
"124",124,"Guyana",0.515,250,88.5,31.3,60.3,47.8,42.6,80.5,0.792703150912106,0.529192546583851,124,0.636,66.4,10.3,8.5,"6,522",-4
"125",125,"Nicaragua",0.449,100,100.8,39.1,39.4,38.3,47.4,80.3,0.972081218274112,0.590286425902864,125,0.631,74.9,11.5,6,"4,457",12
"126",126,"Morocco",0.525,120,35.8,11,20.7,30.2,26.5,75.8,1.45893719806763,0.349604221635884,126,0.628,74,11.6,4.4,"6,850",-8
"127",126,"Namibia",0.401,130,54.9,37.7,33.3,34.4,54.7,63.7,1.03303303303303,0.858712715855573,126,0.628,64.8,11.3,6.2,"9,418",-21
"128",128,"Guatemala",0.533,140,97.2,13.3,21.9,23.2,49.3,88.2,1.05936073059361,0.558956916099773,128,0.627,71.8,10.7,5.6,"6,929",-11
"129",129,"Tajikistan",0.357,44,42.8,15.2,95.1,91.2,58.9,77.1,0.958990536277603,0.763942931258106,129,0.624,69.4,11.2,10.4,"2,517",27
"130",130,"India",0.563,190,32.8,12.2,27,56.6,27,79.9,2.0962962962963,0.337922403003755,130,0.609,68,11.7,5.4,"5,497",-4
"131",131,"Honduras",0.48,120,84,25.8,28,25.8,42.8,82.9,0.921428571428571,0.516284680337756,131,0.606,73.1,11.1,5.5,"3,938",7
